"Rank","Root Domain","Linking Root Domains","Domain Authority"
"279","vice.com","305,000","93"
"280","ja.wikipedia.org","325,747","93"
"281","express.co.uk","202,140","93"
"282","sapo.pt","204,619","93"
"283","pl.wikipedia.org","127,894","93"
"284","target.com","225,571","93"
"285","nikkei.com","190,762","93"
"286","4shared.com","506,249","93"
"287","skype.com","367,678","93"
"288","kickstarter.com","402,210","93"
"289","cambridge.org","222,263","93"
"290","ea.com","157,716","93"
"291","ikea.com","261,771","93"
"292","welt.de","157,684","93"
"293","nydailynews.com","299,829","93"
"294","ggpht.com","572,059","93"
"295","unesco.org","254,473","93"
"296","disney.com","210,556","93"
"297","eventbrite.com","535,465","93"
"298","nbcnews.com","363,990","93"
"299","bt.com","169,934","93"
"300","pixabay.com","296,799","93"
"301","whitehouse.gov","312,217","93"
"302","photobucket.com","1,569,757","93"
"303","wikihow.com","346,936","93"
"304","princeton.edu","277,554","93"
"305","stanford.edu","508,258","93"
"306","espn.com","302,941","93"
"307","afternic.com","1,478,592","93"
"308","theverge.com","302,455","93"
"309","nvidia.com","144,645","93"
"310","buzzfeed.com","444,426","93"
"311","rambler.ru","228,721","93"
"312","adssettings.google.com","293,879","93"
"313","about.com","665,240","93"
"314","britannica.com","268,889","93"
"315","twitch.tv","303,364","93"
"316","goodreads.com","672,141","93"
"317","worldbank.org","202,203","93"
"318","windowsphone.com","120,110","93"
"319","washington.edu","306,220","93"
"320","yandex.ru","918,519","93"
"321","theatlantic.com","422,967","93"
"322","google.co.in","237,706","93"
"323","digg.com","820,226","93"
"324","bp2.blogger.com","521,443","93"
"325","nationalgeographic.com","528,852","93"
"326","dw.com","219,797","93"
"327","doubleclick.net","644,895","93"
"328","academia.edu","284,032","93"
"329","pexels.com","144,848","93"
"330","tripadvisor.com","448,136","93"
"331","addtoany.com","714,837","93"
"332","noaa.gov","282,016","93"
"333","yahoo.co.jp","617,275","93"
"334","oracle.com","521,564","93"
"335","detik.com","351,978","93"
"336","surveymonkey.com","383,443","93"
